,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
211,All,EN,NEW,402653,369335,90940,29744,31981,22165,14381,22413,53814,64815,3574,7221,3548,28435,17625,0.246226326,0.299722093,3.22884,,,,,
238,All,EN,NEW,402399,368907,90549,29906,31819,21948,14511,22271,53622,64858,3586,7308,3574,28415,17667,0.245452106,0.299342195,3.21732,,Diffs,0.025,0.050,0.015
265,All,EN,NEW,402637,369417,90647,29606,31702,22153,14503,22289,53725,64865,3614,7125,3609,28387,17896,0.245378529,0.29866356,3.2235,,,,,
22,All,EN,OLD,402380,369216,90518,29919,31713,22277,14223,22305,53241,65928,3245,7356,3993,28292,17755,0.245162723,0.299311596,3.19446,,,,,
49,All,EN,OLD,401735,368695,90203,29680,31955,21874,14258,22116,52787,65741,3360,7350,3962,27997,17396,0.244654796,0.298413133,3.16722,,Old,High,Low,Avg
76,All,EN,OLD,402239,369112,90512,29861,31951,21816,14249,22496,53416,66122,3266,7368,4019,28139,17585,0.245215544,0.299257407,3.20496,,,3.254,3.167,3.207
103,All,EN,OLD,402176,368959,90490,29855,31847,22180,14293,22170,53549,65963,3362,7415,3906,27951,17378,0.245257603,0.299234663,3.21294,,-,-,-,-
130,All,EN,OLD,403380,370081,91333,29946,32148,22036,14584,22565,54227,66343,3353,7242,3916,28054,17590,0.246791919,0.300656949,3.25362,,-,-,-,-
152,All,FP,NEW,401225,368634,88959,28871,30842,25058,6241,26818,55262,53951,3720,6111,5716,28171,17677,0.24132066,0.293675618,3.31572,,New,High,Low,Avg
179,All,FP,NEW,401807,369328,89626,28705,30602,25587,6474,26963,55753,53857,3774,6117,5623,27733,17326,0.242673179,0.294497109,3.34518,,,3.378,3.316,3.347
206,All,FP,NEW,402355,369472,89773,29080,30912,25414,6287,27160,56300,54037,3803,6026,5736,28107,17635,0.242976464,0.295393372,3.378,,,,,
233,All,FP,NEW,401939,369302,90001,28892,31131,25391,6378,27101,55918,53752,3745,6237,5641,28533,17816,0.243705693,0.295798616,3.35508,,Diffs,0.024,0.017,0.004
