,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
162,BN,All,NEW,414040,376944,106329,33118,54928,29133,5506,16762,54599,73138,3978,8805,5685,41856,25254,0.282081689,0.336795962,3.27594,,,3.318,3.264,3.289
189,BN,All,NEW,414455,377050,106473,33398,54918,29210,5547,16798,55298,72387,4007,8728,5596,41777,25089,0.282384299,0.337481753,3.31788,,,,,
216,BN,All,NEW,414593,377125,106626,33506,55210,29293,5472,16651,54987,72611,3962,8897,5628,41818,25176,0.282733842,0.337998953,3.29922,,Diffs,0.010,0.020,0.018
243,BN,All,NEW,413458,376284,105642,33172,54637,28891,5379,16735,54397,72915,4002,8763,5639,41572,24979,0.28075071,0.335739059,3.26382,,,,,
0,BN,All,OLD,414641,377053,105952,33516,54573,29287,5442,16650,54729,73201,4072,8143,4263,41204,24854,0.281000284,0.33635844,3.28374,,,,,
27,BN,All,OLD,415439,377777,106807,33512,55147,29360,5430,16870,55450,73317,4150,8102,4203,41483,25082,0.282724994,0.337760778,3.327,,Old,High,Low,Avg
54,BN,All,OLD,414403,377182,106281,33051,55155,28952,5369,16805,54845,73111,4170,8199,4307,41129,24734,0.281776437,0.336223435,3.2907,,,3.328,3.284,3.307
81,BN,All,OLD,414538,377397,106348,33020,54830,29369,5357,16792,55120,73413,4121,8069,4286,40949,24547,0.281793443,0.336200783,3.3072,,-,-,-,-
108,BN,All,OLD,415272,377854,106767,33284,54843,29523,5440,16961,55467,73386,4134,8049,4346,41072,24732,0.282561518,0.337251247,3.32802,,-,-,-,-
136,BP,All,NEW,402256,366886,90915,32290,39585,23348,3709,24273,52669,79506,3080,6682,5088,35557,21290,0.247801769,0.306285052,3.16014,,New,High,Low,Avg
163,BP,All,NEW,401817,366679,90541,32067,39166,23412,3702,24261,52517,79535,3071,6775,5139,35075,21059,0.246921694,0.305133929,3.15102,,,3.186,3.151,3.165
190,BP,All,NEW,402904,367561,91275,32299,39701,23761,3620,24193,53098,79814,3044,6517,5260,35668,21515,0.248326128,0.306708298,3.18588,,,,,
217,BP,All,NEW,402433,367153,91086,32200,39385,23676,3743,24282,52928,79827,3080,6751,5121,35229,21127,0.24808731,0.306351616,3.17568,,Diffs,0.009,0.020,0.018
244,BP,All,NEW,402341,367152,91043,32186,39618,23593,3589,24243,52567,79612,3003,6810,5171,35162,21084,0.247970868,0.306279996,3.15402,,,,,
1,BP,All,OLD,403267,367734,91150,32535,39517,23532,3536,24565,53133,80221,2998,6629,3691,34472,20913,0.247869384,0.306707467,3.18798,,,,,
28,BP,All,OLD,402744,367739,91363,32107,39593,23609,3725,24436,52844,79970,2898,6572,3570,34508,20560,0.248445229,0.306571917,3.17064,,Old,High,Low,Avg
55,BP,All,OLD,403118,368043,91410,32208,39775,23541,3575,24519,53245,79857,2867,6594,3737,34743,21058,0.248367718,0.306654627,3.1947,,,3.195,3.171,3.183
82,BP,All,OLD,403206,367740,91313,32423,39682,23696,3752,24183,53007,80271,3043,6491,3599,34672,20852,0.248308588,0.306880354,3.18042,,-,-,-,-
109,BP,All,OLD,403073,367815,91493,32216,39477,23970,3724,24322,53015,79611,3042,6573,3671,34423,20573,0.248747332,0.306914628,3.1809,,-,-,-,-
142,EN,All,NEW,403259,371250,94701,28482,35766,24241,15093,19601,52694,59799,3527,7240,3516,31577,18893,0.255086869,0.305468694,3.16164,,New,High,Low,Avg
169,EN,All,NEW,403524,371778,95136,28231,35882,24622,14909,19723,52967,59460,3515,7224,3532,31583,18964,0.255894647,0.305724071,3.17802,,,3.180,3.159,3.170
196,EN,All,NEW,403142,371401,94607,28127,36081,24244,14740,19542,52866,60098,3614,7224,3636,31436,19068,0.254730063,0.304443596,3.17196,,,,,
223,EN,All,NEW,404090,371929,95391,28726,36129,24683,14947,19632,53006,59474,3435,7494,3662,31286,18753,0.25647637,0.307151872,3.18036,,Diffs,0.024,0.031,0.029
250,EN,All,NEW,402803,370827,94437,28446,35946,24231,14866,19394,52645,59641,3530,7333,3517,31766,19019,0.254665922,0.305069724,3.1587,,,,,
7,EN,All,OLD,403556,371654,94967,28188,36093,24613,14823,19438,53159,59895,3714,6877,4357,31220,18717,0.2555253,0.305174499,3.18954,,,,,
34,EN,All,OLD,404056,371949,95404,28260,36139,24732,15133,19400,53408,59970,3847,6877,4279,31393,18880,0.256497531,0.306056586,3.20448,,Old,High,Low,Avg
61,EN,All,OLD,404032,371801,95313,28540,35970,24794,15041,19508,53368,59612,3691,6972,4291,31606,18960,0.256354878,0.306542551,3.20208,,,3.205,3.190,3.199
88,EN,All,OLD,403920,371730,95185,28490,36218,24357,14992,19618,53255,59833,3700,7000,4316,31265,18732,0.256059506,0.306186869,3.1953,,-,-,-,-
115,EN,All,OLD,403545,371654,95138,28157,35899,24379,15149,19711,53411,60295,3734,7148,4248,31003,18611,0.255985406,0.305529743,3.20466,,-,-,-,-
144,HK,All,NEW,408448,382021,96615,24602,41177,22113,3627,29698,56518,105533,1825,12769,2172,0,0,0.252904945,0.29677462,3.39108,,New,High,Low,Avg
171,HK,All,NEW,408371,381995,96546,24545,41028,22194,3639,29685,56593,104992,1831,12720,2163,0,0,0.252741528,0.296522035,3.39558,,,3.432,3.376,3.397
198,HK,All,NEW,408142,381977,96620,24396,41062,22360,3663,29535,56269,105595,1769,12874,2162,0,0,0.252947167,0.296504648,3.37614,,,,,
225,HK,All,NEW,409313,382546,96928,24976,40785,22648,3711,29784,57197,105155,1791,12591,2191,0,0,0.253376065,0.297825869,3.43182,,Diffs,0.037,0.011,0.015
252,HK,All,NEW,408589,382222,96489,24599,40779,22493,3807,29410,56538,105259,1768,12499,2158,0,0,0.252442298,0.296356485,3.39228,,,,,
9,HK,All,OLD,408881,382718,97002,24471,41439,22288,3768,29507,56586,106193,1692,12359,1914,0,0,0.253455547,0.297086438,3.39516,,,,,
36,HK,All,OLD,408542,382126,96439,24670,40875,22281,3731,29552,56422,105578,1746,12315,1998,0,0,0.252374871,0.296441981,3.38532,,Old,High,Low,Avg
63,HK,All,OLD,407835,381570,96131,24396,40648,22238,3654,29591,56344,105507,1869,12422,1971,0,0,0.251935425,0.295528829,3.38064,,,3.395,3.365,3.382
90,HK,All,OLD,407734,381257,95692,24713,40500,22135,3718,29339,56086,105658,1764,12415,1939,0,0,0.250990801,0.29530282,3.36516,,-,-,-,-
117,HK,All,OLD,408639,382034,96564,24754,41271,22318,3719,29256,56389,105439,1851,12423,1937,0,0,0.252762843,0.296883068,3.38334,,-,-,-,-
138,MH,All,NEW,394479,367905,87187,25150,29422,19959,3770,34036,55507,34282,1424,17858,1866,0,0,0.236982373,0.28477308,3.33042,,New,High,Low,Avg
165,MH,All,NEW,393960,367400,86844,25162,29468,19967,3625,33784,54927,34306,1398,18046,1831,0,0,0.236374524,0.284308052,3.29562,,,3.330,3.296,3.316
192,MH,All,NEW,394458,367714,86823,25361,29020,19988,3467,34348,55453,34732,1383,17726,1830,0,0,0.236115568,0.284400367,3.32718,,,,,
219,MH,All,NEW,393793,367244,86483,25160,29072,19883,3596,33932,54993,34380,1389,17850,1824,0,0,0.235491935,0.283506817,3.29958,,Diffs,0.009,0.009,0.000
246,MH,All,NEW,394365,367714,87027,25238,29149,19984,3665,34229,55484,34833,1413,17900,1839,0,0,0.236670347,0.284672828,3.32904,,,,,
3,MH,All,OLD,393856,367069,86461,25437,28932,19907,3575,34047,55083,34727,1350,17760,3223,0,0,0.235544271,0.284108913,3.30498,,,,,
30,MH,All,OLD,394879,367873,87459,25637,29611,19852,3713,34283,55657,35061,1369,17951,3244,0,0,0.237742373,0.286406722,3.33942,,Old,High,Low,Avg
57,MH,All,OLD,394177,367356,86976,25443,29290,20129,3578,33979,55269,34941,1378,17974,3283,0,0,0.23676216,0.285199289,3.31614,,,3.339,3.305,3.316
84,MH,All,OLD,393617,367385,86912,24935,29307,19958,3621,34026,55202,34562,1297,17950,3168,0,0,0.236569267,0.284151853,3.31212,,-,-,-,-
111,MH,All,OLD,393714,366972,86743,25392,29166,19990,3590,33997,55121,34614,1350,18118,3282,0,0,0.236374982,0.284813342,3.30726,,-,-,-,-
139,S,All,NEW,403986,371619,97106,27380,39859,29055,15789,12403,51015,61408,4987,892,6844,59391,39783,0.261305262,0.308144342,3.0609,,New,High,Low,Avg
166,S,All,NEW,405351,372406,97923,27893,40186,29491,15816,12430,51797,61798,5052,908,6940,59934,40377,0.262946891,0.310387787,3.10782,,,3.108,3.048,3.072
193,S,All,NEW,404225,371294,97033,27842,39897,29076,15892,12168,50796,61440,5089,945,6742,59643,39938,0.261337377,0.308924485,3.04776,,,,,
220,S,All,NEW,404290,371746,97372,27421,40192,29047,15786,12347,51050,61402,5123,925,6849,59709,40131,0.261931534,0.308671993,3.063,,Diffs,0.025,0.010,0.001
247,S,All,NEW,404753,372044,97658,27789,39975,29366,15927,12390,51382,61378,4920,940,6738,59619,39865,0.262490458,0.309934701,3.08292,,,,,
4,S,All,OLD,404428,371678,97237,27683,39923,29215,15582,12517,51351,59294,5067,802,4374,58781,39200,0.261616238,0.308880691,3.08106,,,,,
31,S,All,OLD,404563,371826,97059,27721,40043,29075,15619,12322,50957,59155,5016,825,4597,59034,39743,0.261033387,0.308431567,3.05742,,Old,High,Low,Avg
58,S,All,OLD,404716,372343,97571,27363,40299,29152,15712,12408,51354,59067,5010,834,4366,58795,39524,0.262046017,0.30869548,3.08124,,,3.083,3.057,3.073
85,S,All,OLD,405323,372691,97996,27587,40260,29650,15725,12361,51386,59319,5045,814,4291,58996,39654,0.262941686,0.309834379,3.08316,,-,-,-,-
112,S,All,OLD,404697,372092,97623,27528,40174,29368,15764,12317,51039,59347,5077,858,4290,58838,39340,0.262362534,0.309246177,3.06234,,-,-,-,-
147,SF,All,NEW,414123,386123,119877,24867,81795,20833,3802,13447,51620,40230,3133,10104,4202,50886,30369,0.310463246,0.349519346,3.0972,,New,High,Low,Avg
174,SF,All,NEW,414875,386527,120232,25021,82088,21152,3758,13234,51919,40206,3327,9977,4289,51361,30960,0.311057184,0.350112685,3.11514,,,3.167,3.097,3.140
201,SF,All,NEW,415696,387368,121230,25118,82866,21043,3814,13507,52657,40997,3210,10084,4111,51448,30880,0.312958221,0.352055348,3.15942,,,,,
228,SF,All,NEW,415252,386880,120746,25166,82506,21005,3672,13563,52777,40282,3206,10069,4200,51381,30790,0.312101944,0.351381812,3.16662,,Diffs,0.011,0.020,0.005
255,SF,All,NEW,416129,387439,121319,25488,83052,21066,3735,13466,52656,40447,3202,10103,4169,51567,30992,0.313130583,0.352792043,3.15936,,,,,
12,SF,All,OLD,415811,387787,121368,24891,82744,21170,3893,13561,52587,40952,3133,9630,3934,50772,30484,0.312975938,0.351743941,3.15522,,,,,
39,SF,All,OLD,415165,387204,120752,24777,82393,21153,3771,13435,52426,41170,3184,9614,3877,50539,30290,0.311856282,0.350532921,3.14556,,Old,High,Low,Avg
66,SF,All,OLD,415365,387137,120600,25051,82398,21002,3747,13453,51947,40706,3177,9731,3889,50598,30560,0.311517628,0.350657855,3.11682,,,3.155,3.117,3.135
93,SF,All,OLD,415349,387569,121103,24747,82714,21117,3775,13497,52281,41484,3033,9612,3871,50930,30589,0.312468231,0.351150478,3.13686,,-,-,-,-
120,SF,All,OLD,415153,386902,120563,25066,82378,20776,3884,13525,52006,41008,3185,9481,3981,50870,30412,0.311611209,0.350783928,3.12036,,-,-,-,-
146,SM,All,NEW,406823,360385,96334,40854,51633,24784,4351,15566,52499,39591,5584,1861,10288,79604,51100,0.267308573,0.337217906,3.14994,,New,High,Low,Avg
173,SM,All,NEW,406961,360478,96171,40738,51193,24907,4599,15472,52901,40053,5745,1756,10041,79145,50953,0.266787432,0.336417986,3.17406,,,3.197,3.150,3.177
200,SM,All,NEW,407423,360872,96983,40773,51991,24784,4529,15679,53281,39729,5778,1795,10013,79918,51380,0.268746259,0.338115423,3.19686,,,,,
227,SM,All,NEW,406778,360658,96680,40498,51772,24549,4593,15766,52894,39654,5622,1783,10092,79524,50907,0.268065591,0.337230627,3.17364,,Diffs,0.031,0.023,0.029
254,SM,All,NEW,407248,361174,97118,40376,51875,24870,4625,15748,53138,39887,5698,1732,10205,79521,51007,0.268895325,0.337617373,3.18828,,,,,
11,SM,All,OLD,407451,361319,96462,40765,51564,24840,4428,15630,52570,39941,5367,1662,6915,77804,49977,0.266971845,0.336793872,3.1542,,,,,
38,SM,All,OLD,406686,360901,96097,40481,51343,24824,4352,15578,52123,40197,5304,1596,6917,77587,49570,0.266269697,0.335831575,3.12738,,Old,High,Low,Avg
65,SM,All,OLD,407165,361061,96219,40789,51259,24770,4506,15684,52309,40256,5315,1663,6756,77702,49809,0.266489596,0.336492577,3.13854,,,3.165,3.127,3.148
92,SM,All,OLD,407667,361355,96591,41036,51516,24575,4603,15897,52758,40289,5276,1641,6815,78038,50022,0.267302237,0.337596617,3.16548,,-,-,-,-
119,SM,All,OLD,407715,361543,96732,40720,51648,24672,4549,15863,52575,39763,5452,1632,6816,77759,49961,0.267553237,0.33712765,3.1545,,-,-,-,-
145,TT,All,NEW,427535,369588,83141,55737,31152,18986,3880,29123,60843,135875,2210,11343,2290,0,0,0.224955897,0.324834224,3.65058,,New,High,Low,Avg
172,TT,All,NEW,427754,370088,83677,55474,31147,19126,3959,29445,61061,135729,2192,11397,2348,0,0,0.226100279,0.325306134,3.66366,,,3.681,3.617,3.658
199,TT,All,NEW,427823,370003,83464,55621,30747,19237,4002,29478,61305,136053,2199,11262,2285,0,0,0.225576549,0.325099399,3.6783,,,,,
226,TT,All,NEW,426306,369029,82469,55014,30682,18837,3835,29115,60289,135720,2263,11177,2239,0,0,0.223475662,0.322498393,3.61734,,Diffs,0.032,0.006,0.029
253,TT,All,NEW,428153,370185,83660,55771,31220,19250,3903,29287,61354,136300,2197,11278,2277,0,0,0.225995111,0.32565695,3.68124,,,,,
10,TT,All,OLD,426808,369411,82848,55279,30956,18693,3816,29383,60205,136085,2118,10975,1087,0,0,0.224270528,0.323627954,3.6123,,,,,
37,TT,All,OLD,426601,369239,82769,55285,30617,19212,3866,29074,60184,136187,2077,11100,1078,0,0,0.224161045,0.323613869,3.61104,,Old,High,Low,Avg
64,TT,All,OLD,426846,369340,82732,55355,30787,18986,3886,29073,60452,135947,2151,10881,1048,0,0,0.223999567,0.323505433,3.62712,,,3.650,3.611,3.629
91,TT,All,OLD,427265,369602,83193,55515,30938,18996,3960,29299,60828,135900,2148,11096,1095,0,0,0.225088068,0.324641616,3.64968,,-,-,-,-
118,TT,All,OLD,427391,369612,82986,55748,30769,19048,3827,29342,60760,136034,2031,10999,1112,0,0,0.224521931,0.324606742,3.6456,,-,-,-,-
143,WC,All,NEW,424857,355704,87927,64621,38555,24642,6476,18254,57265,67003,4532,9528,6441,44854,26691,0.247191485,0.359057283,3.4359,,New,High,Low,Avg
170,WC,All,NEW,424597,355998,87540,64249,38382,24816,6290,18052,56946,67345,4350,9437,6482,44754,26999,0.245900258,0.357489572,3.41676,,,3.458,3.417,3.439
197,WC,All,NEW,425313,356379,88031,64584,38445,24911,6362,18313,57160,66894,4350,9531,6397,44610,26839,0.247015116,0.35882985,3.4296,,,,,
224,WC,All,NEW,425483,356228,87907,64785,38546,24970,6364,18027,57628,67438,4470,9391,6452,44773,26955,0.24677173,0.358867452,3.45768,,Diffs,0.014,0.004,0.002
251,WC,All,NEW,425683,356427,88077,64752,38684,24753,6443,18197,57562,66785,4504,9430,6449,44879,27163,0.247110909,0.35902068,3.45372,,,,,
8,WC,All,OLD,425497,356483,87671,64760,38507,24611,6401,18152,57012,67551,4254,9173,3725,43255,26033,0.245933186,0.358242244,3.42072,,,,,
35,WC,All,OLD,425513,356691,87966,64570,38669,24765,6363,18169,57353,67193,4252,9079,3750,43370,25964,0.24661682,0.358475534,3.44118,,Old,High,Low,Avg
62,WC,All,OLD,425725,356651,87957,64686,38436,25001,6476,18044,57394,67570,4388,9043,3740,43374,26043,0.246619244,0.358548359,3.44364,,,3.444,3.421,3.437
89,WC,All,OLD,425359,356481,88091,64515,38741,24751,6350,18249,57316,67700,4363,9132,3710,43508,25958,0.247112749,0.358769886,3.43896,,-,-,-,-
116,WC,All,OLD,425961,357344,88581,64356,38847,24980,6632,18122,57338,67696,4261,9026,3603,43484,26066,0.24788719,0.359039912,3.44028,,-,-,-,-
140,XB,All,NEW,403285,373623,95536,27401,32006,34636,9215,19679,53185,74888,2261,1109,4587,51365,32822,0.255701603,0.30483901,3.1911,,New,High,Low,Avg
167,XB,All,NEW,402253,372522,94062,27475,31536,33819,9278,19429,52172,75592,2256,1118,4526,51058,32892,0.252500523,0.302140693,3.13032,,,3.191,3.113,3.144
194,XB,All,NEW,401969,372452,94321,27241,31842,33794,9225,19460,52418,75325,2276,1131,4473,51225,32763,0.253243371,0.302416355,3.14508,,,,,
221,XB,All,NEW,402233,372451,94056,27580,31604,33758,9294,19400,52332,75315,2202,1138,4440,51110,32845,0.252532548,0.302401842,3.13992,,Diffs,0.030,0.032,0.008
248,XB,All,NEW,401687,371977,93616,27457,31455,33658,9165,19338,51888,75362,2253,1062,4438,51100,32776,0.251671474,0.301411298,3.11328,,,,,
5,XB,All,OLD,402770,373101,94986,27468,31819,34216,9360,19591,52683,75264,2201,1080,5891,51036,32545,0.25458522,0.304029595,3.16098,,,,,
32,XB,All,OLD,402640,372725,94534,27757,31801,33933,9341,19459,52582,75957,2158,1119,5850,51197,32804,0.253629351,0.303722929,3.15492,,Old,High,Low,Avg
59,XB,All,OLD,402416,373136,94553,27169,31758,33857,9442,19496,52416,75710,2111,1036,5690,50935,32778,0.253400905,0.302478033,3.14496,,,3.161,3.145,3.152
86,XB,All,OLD,402516,372944,94556,27427,31911,33978,9180,19487,52596,75305,2145,1051,5833,50977,32670,0.253539405,0.303051307,3.15576,,-,-,-,-
113,XB,All,OLD,402426,373019,94502,27356,31626,34124,9174,19578,52423,75923,2051,1111,5879,50693,32495,0.253343663,0.302808467,3.14538,,-,-,-,-
